Other_Complaints,Count
Convulsions,16
Abdomil pain,16
PV bleeding,10
Chest pain,5
Loss of appetite,4
Pus discharge from incision site,4
Labour like pains,3
Pus discharge from surgical site,3
Abdomil pain and distention,3
Labour like pain,3
Ibility to breast feed,3
Lower abdomil pain,3
Failure to breastfeed,3
Body swelling,3
"Abdomil pain, abdomil distension",2
Lower limb swelling and pus discharge,2
General body swelling and palpitations,2
Birth asphyxia,2
Chills,2
Palpitations,2
Abdomil distension,2
Confusion,2
Per Vagil Bleeding,2
Painful right lower limb,2
CONVULSIONS,2
"Epigastric pain, ibility to pass urine",2
Right foot wound,2
"Abdomil pain, failure to pass stool",2
Al pain,2
Runny nose,2
"Reduced hearing, piercing ear pain, Purulent ear discharge",2
Labor like pains,2
Reduced appetite,2
Abdomil swelling,2
"LAP, Abnormal PV discharge",2
Abdomil pain and distension,2
Vigil bleeding,2
"Abdomil pain, abdomil distention, constipation",2
abdomil distension and pain,1
Painful and swollen right foot,1
"Abdomil pain, weight loss",1
Wound on the posterior neck,1
Pain in the Left  ilhac fossa,1
Painful left thigh with a draining sinus,1
Burn wounds,1
"Chest pain radiating to the back, palpitations",1
Multiple injuries,1
Swollen right leg associated with pain on touch,1
Wounds on both lower limbs,1
"Body swelling including neck, face, abdomen and lower limb, exertiol orthorpnoea, PND,",1
Laceration on the right foot,1
"Abdomil pain, PV discharge, foul smell",1
Abdomil distension and passing out very little stool,1
Wound on the right nipple,1
"Orthopnea, lower limb swelling, chest pain,",1
"Swelling of the uriry bladder,  difficult in swallowing and bilateral lower limb swelling",1
Bleeding from the mouth and nose,1
Failure to breast feed,1
Skin swelling,1
Chest indrawing,1
Pallor,1
Polydactyly left hand,1
"Haematemesis, abdomil pain",1
"Bilateral lower limb swelling, facial puffiness, abdomil distension",1
"Severe abdomil pain, abdomil distension",1
"Abdomil pain, failure to pass stool, abdomil distention",1
Painful bleeding wound,1
Painful bilateral scrotal swelling,1
"Wasting +++,constipation and loss of appetite",1
Left limb pain,1
Right leg open wound and deformity,1
Pain in the right knee following RTA,1
Right foot swelling; Pus discharge from right foot,1
Bleeding from the forehead; Pain in the left lower limb following RTA,1
Left sided hemiplegia,1
Blurring of vision,1
Irritability,1
Right foot ulcer; Right lower limb swelling,1
"Neck pain, convulsions",1
Aggressiveness; Uncoordited speech,1
Back pain,1
"Faliure to pass stool, Abdomen pain and distension associted with RTA",1
Bleeding from the right foot,1
Facial swelling,1
"Right-sided paralysis; Abdomil pain, convulsions",1
Pain around right leg secondary to a fall,1
Swelling on limb,1
Multiple ulcers on both lower limbs,1
"convulsions, neck pain",1
Re-admission for pus from incision site.,1
Multiple injuries due to RTA,1
Sudden collapse,1
Fractured both lower limbs,1
Painful swollen wound on the hand,1
Swollen and painful right hand;,1
"Lower abdomil pain, inguil swelling, faliure to pass stool",1
Pus discharging sore on the left upper thigh,1
Wound on the right buttock,1
Swollen painful scrotum and penis,1
Abdomen with septic wound,1
Severe malaria,1
Pain with pus from the surgical site,1
Pus discharging foot with necrotic tissue.,1
Left breast swelling,1
Septic  big toe,1
"Abdomil pain, failure to feed and Abdomil distension",1
Yellowish,1
"Chest pain ,irritable and over crying",1
"Night sweats, Loss of appetite",1
Rigors and chills,1
Acute epigustric pain and bloody diarrhea,1
Right lower limb wounds and swelling with pus discharge,1
Auto amputated and bleeding right leg,1
"Abdomil pain; Abdomil distention, faliure to pass stool",1
Wound on the right ring finger,1
Painful swollen right upper thigh,1
"swollen and painful Lower limb, pus discharging wounds.",1
Pain and deformity of the right lower limb,1
Pus discharge from the right foot,1
Photophobia; Neck stiffness,1
non-healing left foot ulcer,1
"Abdomil pain and swelling, weight loss",1
"Neck pain, Yellowing of eyes",1
