name_of_rrh,Antibiotic,I,R,S,I+R+S,%R
Arua,amikacin,0,15,54,69,22.0
Arua,amoxicillin,45,85,8,138,62.0
Arua,ampicillin,0,107,0,107,100.0
Arua,azithromycin,0,23,0,23,100.0
Arua,cefepime,8,77,45,130,59.0
Arua,cefixime,0,38,0,38,100.0
Arua,cefotaxime,0,30,0,30,100.0
Arua,cefoxitin,0,8,99,107,7.0
Arua,ceftaz,0,39,32,71,55.0
Arua,ceftriaxone,15,161,45,221,73.0
Arua,cefuroxime,0,8,16,24,33.0
Arua,chloramphenicol,23,95,128,246,39.0
Arua,ciprofloxacin,24,147,61,232,63.0
Arua,clindamycin,0,0,8,8,0.0
Arua,doxycycline,17,0,15,32,0.0
Arua,gentamicin,69,133,76,278,48.0
Arua,imip,16,0,207,223,0.0
Arua,piperacillin,16,90,62,168,54.0
Arua,tetracycline,0,62,45,107,58.0
Arua,trim,0,101,45,146,69.0
Arua,trimethoprim,0,1,0,1,100.0
Gulu,amikacin,128,59,225,412,14.0
Gulu,amoxicillin,80,340,38,458,74.0
Gulu,ampicillin,70,291,26,387,75.0
Gulu,azithromycin,0,0,2,2,0.0
Gulu,azitreo,0,73,0,73,100.0
Gulu,cefepime,0,0,6,6,0.0
Gulu,cefixime,0,120,0,120,100.0
Gulu,cefotaxime,24,294,67,385,76.0
Gulu,cefoxitin,0,16,0,16,100.0
Gulu,cefoxtaxime,0,0,3,3,0.0
Gulu,cefoxtin,0,24,0,24,100.0
Gulu,ceftaz,72,272,24,368,74.0
Gulu,ceftazidime,0,0,24,24,0.0
Gulu,ceftriaxone,40,358,86,484,74.0
Gulu,cefuroxime,0,170,6,176,97.0
Gulu,chloramphenicol,16,269,261,546,49.0
Gulu,ciprofloxacin,99,428,184,711,60.0
Gulu,clindamycin,24,72,98,194,37.0
Gulu,doxycycline,0,24,1,25,96.0
Gulu,ertapenem,56,25,80,161,16.0
Gulu,erythromycin,0,112,97,209,54.0
Gulu,fosfomycin,0,0,26,26,0.0
