feature,coefficient
Resistance3,-1.939352441839823
growth1,0.944921327103221
Resistance2,-0.7505434165031545
antib_aft_culture,0.7365876397249217
resistance,0.7286493694675229
Prescribed_antib_5,0.5928187052885955
organism_isolated,0.4678205879036137
third_organism,-0.4563994650112882
Resistance1 ,-0.42107432020084035
complications,0.4011187400312061
referral,0.2431037812550352
Prio_antib_3,-0.21101765939108108
Comobidity3,0.1833846741779755
Comobidity2,0.1734664954520063
Infection_Site_3,0.16912400989574983
Prescribed_antib_4,0.1376638012892696
sex,-0.13029659236760735
hiv_status,-0.09719730884209708
Infection_Site_2,0.08227628871805773
intubated,-0.078621686473241
antibiotics,0.07557453407699044
antib_prior_admi,0.058278082860043386
ward,0.0552582210362501
Infection_Site_1,0.0483754169608258
Prio_antib_1,-0.04232580359539668
sec_organism,-0.03078875878377494
Antibioitic_aft_cul_1,0.025886127515466803
Antibioitic_aft_cul_2,0.02350996163751167
Prio_antib_2,0.01640850050443018
first_organism,-0.015975644555834917
treatment_outcome,-0.013429286220179752
Prio_antib_4,0.013073808962232172
sympt_dura,0.011953603923997032
name_of_rrh,-0.006088012050538607
age,0.00469470520452447
Prescribed_antib_3,0.0036869927865303877
Comobidity1,0.0024442683988781452
Prescribed_antib_1,0.0009485409433640084
Prescribed_antib_2,0.0008793008352625788
