Antibiotic,I,R,S,I+R+S,%R,Pathogen
amikacin,0,6,48,54,11.11,Citrobacter spp
amoxicillin,36,122,87,245,49.8,Citrobacter spp
ampicillin,4,71,3,78,91.03,Citrobacter spp
azithromycin,0,9,2,11,81.82,Citrobacter spp
azitreo,1,54,50,105,51.43,Citrobacter spp
aztreom,0,8,0,8,100.0,Citrobacter spp
cefepime,9,98,58,165,59.39,Citrobacter spp
cefixime,0,33,0,33,100.0,Citrobacter spp
cefotaxime,0,36,11,47,76.6,Citrobacter spp
cefoxitin,0,4,14,18,22.22,Citrobacter spp
cefoxtaxime,0,9,0,9,100.0,Citrobacter spp
ceftaz,20,162,75,257,63.04,Citrobacter spp
ceftriaxone,6,268,55,329,81.46,Citrobacter spp
cefuroxime,0,16,2,18,88.89,Citrobacter spp
chloramphenicol,15,96,193,304,31.58,Citrobacter spp
ciprofloxacin,66,180,120,366,49.18,Citrobacter spp
clindamycin,5,28,16,49,57.14,Citrobacter spp
doripenem,0,0,1,1,0.0,Citrobacter spp
doxycycline,11,45,27,83,54.22,Citrobacter spp
ertapenem,0,0,1,1,0.0,Citrobacter spp
erythromycin,2,36,4,42,85.71,Citrobacter spp
gentamicin,12,184,175,371,49.6,Citrobacter spp
imip,44,18,308,370,4.86,Citrobacter spp
levofloxacin,24,84,47,155,54.19,Citrobacter spp
linezolid,0,0,8,8,0.0,Citrobacter spp
meropenem,24,16,122,162,9.88,Citrobacter spp
nalidixic,0,0,1,1,0.0,Citrobacter spp
nitrofurantoin,0,0,2,2,0.0,Citrobacter spp
oxacilin,0,18,10,28,64.29,Citrobacter spp
piperacillin,146,297,243,686,43.29,Citrobacter spp
tetracycline,0,86,70,156,55.13,Citrobacter spp
trim,12,266,18,296,89.86,Citrobacter spp
amikacin,34,38,241,313,12.14,Escherichia coli
amoxicillin,90,513,197,800,64.12,Escherichia coli
ampicillin,23,426,15,464,91.81,Escherichia coli
azithromycin,0,54,15,69,78.26,Escherichia coli
azitreo,3,154,103,260,59.23,Escherichia coli
aztreom,0,17,1,18,94.44,Escherichia coli
cefepime,35,269,143,447,60.18,Escherichia coli
cefixime,0,146,2,148,98.65,Escherichia coli
cefotaxime,9,155,40,204,75.98,Escherichia coli
cefoxitin,0,63,63,126,50.0,Escherichia coli
cefoxtaxime,0,19,0,19,100.0,Escherichia coli
cefoxtin,0,7,0,7,100.0,Escherichia coli
ceftaz,63,438,167,668,65.57,Escherichia coli
ceftazidime,0,0,7,7,0.0,Escherichia coli
ceftriaxone,30,849,218,1097,77.39,Escherichia coli
cefuroxime,0,86,6,92,93.48,Escherichia coli
chloramphenicol,49,381,705,1135,33.57,Escherichia coli
ciprofloxacin,218,749,417,1384,54.12,Escherichia coli
clindamycin,23,101,153,277,36.46,Escherichia coli
doripenem,0,0,4,4,0.0,Escherichia coli
doxycycline,23,150,76,249,60.24,Escherichia coli
ertapenem,13,7,23,43,16.28,Escherichia coli
erythromycin,9,157,93,259,60.62,Escherichia coli
fosfomycin,0,0,8,8,0.0,Escherichia coli
gentamicin,72,631,593,1296,48.69,Escherichia coli
imip,122,85,923,1130,7.52,Escherichia coli
levofloxacin,45,163,82,290,56.21,Escherichia coli
linezolid,0,0,68,68,0.0,Escherichia coli
meropenem,78,40,273,391,10.23,Escherichia coli
nalidixic,12,54,8,74,72.97,Escherichia coli
